Year,Country,TotalDeaths,TotalAffected,TotalDamage
1968,KOR,18,0,3000
1968,LAO,2,9600,1280
1968,LSO,0,204000,1000
1968,MDG,29,75000,3100
1968,MEX,55,500,0
1968,MMR,1070,90000,2500
1968,MYS,23,10005,0
1968,NCL,0,0,0
1968,NIC,0,3560,3500
1968,NIU,0,0,0
1968,NPL,276,1000,300
1968,NZL,53,1314,2669
1968,PAK,37,1075,0
1968,PER,11,420,100
1968,PHL,353,277904,19600
1968,SLB,1,200,0
1968,THA,0,500,700
1968,TUR,274,1975,0
1968,TZA,40,57000,1000
1968,USA,159,458,8000
1968,WSM,0,4,238
1968,YUG,1,15030,38600
1968,ZAF,0,0,30000
1969,AFG,0,48000,200
1969,BEL,47,104,0
1969,BFA,434,979550,0
1969,BGD,849,199473,8329
1969,BOL,18,77,0
1969,BRA,316,38305,5770
1969,CAN,38,0,0
1969,CHN,3000,0,0
1969,COL,0,70000,500
1969,CRI,7,4603,4000
1969,CYP,3,3100,100
1969,DZA,76,200237,10000
1969,ECU,400,40000,0
1969,ETH,24,1700585,1320
1969,FRA,23,0,0
1969,GTM,273,10208,15000
1969,HKG,0,2374,0
1969,HND,0,8002,19000
1969,IDN,64,250097,200
1969,IND,815,280092,8330
1969,IRN,70,48300,0
1969,IRQ,0,5.00E+05,2000
1969,JPN,100,56,0
1969,KOR,630,349226,22400
1969,LAO,0,0,0
1969,LKA,62,1.00E+06,8500
1969,MAR,0,5520,500
1969,MDG,81,43040,5000
1969,MEX,76,0,0
1969,MLI,513,4023,0
1969,MMR,11,7615,2689
1969,MRT,0,1300000,34000
1969,MWI,0,2300,200
1969,NCL,0,0,3000
1969,NER,2,5,0
1969,NGA,2000,80000,0
1969,NIC,0,0,7
1969,PER,150,131820,15000
1969,PHL,11,3956,3308
1969,SEN,0,1400000,74800
1969,SLV,14,4659,1600
1969,SOM,0,0,0
1969,SUR,0,4600,50
1969,TCD,0,9.00E+05,83000
1969,TUN,540,271269,1.00E+05
1969,TUR,41,350,0
1969,TWN,269,40408,88000
1969,USA,830,0,1820000
1969,VEN,155,0,0
1969,YMN,0,2020000,10000
1969,YUG,15,286116,50000
1969,ZAF,26,1150,0
1970,ARE,41,0,0
1970,ARG,61,0,25000
1970,AUS,13,0,72475
1970,BEL,1,160,0
1970,BEN,0,0,200
1970,BGD,300317,13648110,111400
1970,BRA,408,10104371,46100
1970,BRB,3,210,500
1970,BWA,0,87600,2000
1970,CAN,119,0,0
1970,CHE,30,48,0
1970,CHN,10407,14000,0
1970,CIV,120,1500,0
1970,COL,837,5112006,139250
1970,CRI,24,15240,30000
1970,CUB,20,0,0
1970,CYP,0,0,0
1970,DMA,0,0,0
1970,ECU,49,238712,4520
1970,ESP,52,0,0
1970,ETH,500,4000,0
1970,FRA,258,37,0
1970,GLP,0,0,0
1970,HKG,0,1438,0
1970,HUN,300,0,85000
1970,IDN,132,0,0
1970,IND,1053,10353000,101200
1970,IRN,253,10101,8000
1970,ISR,20,13,0
1970,ITA,72,1301850,271500
1970,JPN,73,425,0
1970,KOR,67,9500,5100
1970,MAR,11,266444,30000
1970,MDG,70,10000,11400
1970,MEX,35,0,0
1970,MMR,90,0,0
1970,MTQ,45,5000,31000
1970,MYS,61,243000,37000
1970,NER,319,2677,0
1970,NPL,371,20000,0
1970,PAK,0,1105,60
1970,PAN,48,44345,15000
1970,PER,66826,3367542,537200
1970,PHL,3816,1812747,258399
1970,PNG,15,0,1750
1970,PRI,60,0,0
1970,ROU,215,238755,5.00E+05
1970,TUR,1086,83448,55600
1970,USA,134,0,697000
1970,VNM,237,204000,0
1970,ZMB,89,500,0
1971,AFG,100,0,0
1971,AUS,30,0,139219
1971,BEL,61,600,0
1971,BGD,163,0,0
1971,BRA,239,13000,5200
1971,CAN,31,1500,0
1971,CHE,28,0,0
1971,CHL,85,2438973,238900
1971,CMR,0,4.00E+05,1500
1971,COL,251,0,0
1971,DFR,115,192,0
1971,ECU,20,2406,50
1971,ESP,400,0,155000
1971,GBR,95,167,0
1971,GHA,0,12000,100
1971,GMB,0,150000,200
1971,GUY,0,21000,200
1971,HKG,115,1486,0
1971,HND,37,123,0
1971,IND,11041,7065000,560000
1971,ITA,22,4220,41600
1971,JPN,297,0,0
1971,KEN,0,150000,1500
1971,KOR,267,50,0
1971,LAO,14,115000,200
1971,MAR,0,137000,100
1971,MEX,17,0,0
1971,MOZ,500,5.00E+05,0
1971,NIC,35,8250,2380
1971,PER,850,330000,600
1971,PHL,246,46511,1290
1971,PNG,100,0,0
1971,POL,33,0,0
1971,PRY,0,27000,50
1971,SLB,0,6000,0
1971,TCD,2312,7476,0
1971,TGO,0,150000,500
1971,TUR,935,88665,5000
1971,URY,8,40,0
1971,USA,248,1061,535000
1971,VCT,0,2000,0
1971,VEN,1,0,0
1971,VNM,112,50000,0
1971,YUG,34,113,0
1972,AFG,150,250000,0
1972,ARG,100,0,0
1972,BEL,0,0,0
1972,BEN,0,115000,0
1972,BGD,250,25000,0
1972,BRA,39,51,0
1972,BWA,0,1000,50
1972,CAN,67,0,0
1972,CHE,13,0,0
1972,COL,70,0,0
1972,CPV,0,0,0
1972,DDR,156,0,0
1972,DFR,54,0,420000
1972,ESP,84,100,20000
1972,FJI,3,120000,22500
1972,FRA,168,111,0
1972,GBR,149,0,0
1972,GNB,0,0,0
1972,GRC,31,0,0
1972,HKG,238,23172,0
1972,HND,0,3.00E+05,7000
1972,HTI,78,45000,1009
1972,IDN,72,3500000,70000
1972,IND,330,204530075,1.00E+05
1972,IRN,5117,23458,1000
1972,IRQ,459,6071,0
1972,ITA,1,450,0
1972,JPN,703,0,0
1972,KIR,3,700,0
1972,KOR,797,1128339,73434
1972,MDG,91,2510056,12420
1972,MEX,249,101870,0
1972,MMR,5,20000,2800
1972,MUS,2,25016,0
1972,NCL,3,0,0
1972,NGA,21,100,0
1972,NIC,10000,720000,845000
1972,NLD,0,0,0
1972,NPL,105,9.00E+05,10000
1972,PAN,0,2300,100
1972,PER,12,1575000,20000
1972,PHL,1088,3263325,268000
1972,PNG,0,0,0
1972,SPI,155,0,0
1972,SUN,176,0,0
1972,TUR,30,0,0
1972,TUV,6,700,0
1972,USA,1315,3841,2220000
1972,VUT,4,0,0
1972,YMD,0,0,0
1972,YUG,35,174,0
1973,ARG,60,300,0
1973,AUS,12,12000,71000
1973,BGD,2327,50000,0
1973,BRA,20,0,16000
1973,CAF,0,13000,0
1973,COL,225,5172,0
1973,CRI,21,3745,200
1973,CSK,127,0,0
1973,DNK,35,0,0
1973,DZA,21,146000,10000
1973,ECU,25,30000,0
1973,ESP,519,0,4.00E+05
1973,ETH,1.00E+05,3.00E+06,76000
1973,FJI,59,6150,0
1973,FRA,254,6,0
1973,GBR,58,164,0
1973,GMB,0,5000,0
1973,GTM,5,1000,2500
1973,HKG,1,276,0
1973,HND,2800,0,0
1973,IDN,1702,34,0
1973,IND,309,0,0
1973,ISL,0,5200,24700
1973,ITA,38,5000,480000
1973,JAM,6,2510,1700
1973,JPN,128,0,0
1973,MAR,106,0,0
1973,MEX,647,150027,1.00E+05
1973,NGA,176,0,0
1973,NZL,0,12643,0
1973,PAK,474,4800000,661500
1973,PAN,7,4000,0
1973,PER,500,0,0
1973,PHL,363,3450088,7943
1973,PRT,11,0,0
1973,TON,3,900,500
1973,TUN,111,44240,5000
1973,USA,214,601,550000
1973,VNM,100,150000,0
1973,YMN,60,2862,0
1974,ARG,100,1.00E+05,0
1974,AUS,90,45640,1102689
1974,BEL,40,69,0
1974,BGD,31500,3.80E+07,579200
1974,BLZ,0,70000,4000
1974,BOL,31,18000,10500
1974,BRA,2015,355000,121000
1974,CAN,32,0,89500
1974,CHL,32,40000,10000
1974,CHN,20000,0,0
1974,COL,390,1000,0
1974,CSK,14,0,0
1974,DFR,0,0,22000
1974,DZA,11,20000,30000
1974,EGY,48,0,0
1974,ESP,4,129,0
1974,FRA,346,0,0
1974,GBR,29,3100,0
1974,HKG,1,2400,0
1974,HND,8000,6.00E+05,540000
1974,HTI,0,507000,0
1974,IDN,10,2000,0
1974,IND,280,25100,0
1974,ISL,12,0,0
1974,JPN,364,644,4.00E+05
1974,KEN,59,0,0
1974,KHM,130,10164,600
1974,KOR,88,0,0
1974,LKA,218,0,0
1974,LSO,0,500,0
1974,MEX,13,0,0
1974,MMR,0,1400000,0
1974,NER,0,16000,1000
1974,PAK,4740,50200,3255
1974,PER,388,57174,31700
1974,PHL,297,1305976,73383
1974,RWA,0,1900000,0
1974,SOM,19000,230000,0
1974,SUN,13,0,0
1974,SYR,0,205000,39000
1974,TTO,2,50000,5000
1974,TUR,33,0,0
1974,TZA,25,68000,3000
1974,USA,386,499,1.00E+06
1974,YMD,3,500,0
1974,YMN,0,0,0
1974,YUG,153,60,0
1974,ZAF,26,0,0
1975,AIA,14,0,0
1975,ARG,20,0,0
1975,AUS,13,36,118545
1975,AUT,15,0,0
1975,BRA,244,828707,854900
1975,CAN,43,340,2500
1975,CHE,13,0,0
1975,CHN,30500,1.10E+07,0
1975,COM,0,3.00E+05,0
1975,CRI,2,0,0
1975,DDR,0,10000,0
1975,DFR,49,177,0
1975,ECU,0,0,0
1975,EGY,15,0,0
1975,ESP,28,0,0
1975,FJI,0,23000,1000
1975,GBR,76,83,0
1975,GRD,0,0,4700
1975,HKG,3,5315,0
1975,IND,1291,34002000,914259
1975,IRN,14,0,0
1975,ITA,12,0,0
1975,JAM,17,62,0
1975,JPN,98,175,505000
1975,KEN,0,16000,0
1975,MAR,178,12000,0
1975,MDG,7,10050,0
1975,MEX,52,55,0
1975,MMR,200,0,0
1975,MOZ,1,75000,0
1975,MUS,9,826258,2.00E+05
1975,NCL,0,0,0
1975,NLD,14,104,0
1975,NPL,125,75000,0
1975,PAK,14,0,0
1975,PHL,40,7325,4619
1975,PRI,26,0,0
1975,PRT,10,280,0
1975,ROU,60,1.00E+06,50000
1975,SAU,138,0,0
1975,SDN,0,145000,0
1975,SLB,200,0,0
1975,SLE,1,10000,3600
1975,SUN,20,0,0
1975,THA,239,3000093,45000
1975,TUR,2385,53372,17000
1975,USA,246,10788,550000
1975,VNM,172,0,0
1975,VUT,0,0,0
1975,YMD,0,0,0
1975,YMN,52,50000,12700
1975,YUG,25,0,0
1975,ZWE,11,0,0
1976,AFG,101,170000,0
1976,AUS,0,10000,107011
1976,AUT,0,0,0
1976,BEL,25,140,0
1976,BEN,1,7,0
1976,BGD,215,4000200,201
1976,BOL,112,110,0
1976,CAN,21,0,20000
1976,CHE,0,0,0
1976,CHN,242000,164000,5600000
1976,COD,245,262,0
1976,COL,170,46,0
1976,CRI,0,70000,0
1976,CUB,1,8,0
1976,DFR,82,0,1300000
1976,DNK,0,0,0
1976,ECU,81,45000,4000
1976,ESP,1,0,0
1976,ETH,0,70000,0
1976,FIN,43,70,0
1976,FRA,28,0,0
1976,GBR,0,0,0
1976,GLP,0,75003,0
1976,GTM,23000,4993000,1.00E+06
1976,GUM,9,0,120000
1976,HKG,38,2692,0
1976,HND,20,15000,0
1976,IDN,1354,496775,195000
1976,IND,323,6.00E+05,266756
1976,IRN,16,0,0
1976,ISL,1,6,0
1976,ITA,976,441115,3600000
1976,JPN,169,325107,840000
1976,KOR,25,0,1.00E+05
1976,MAC,0,1418,0
1976,MDG,16,508876,17000
1976,MEX,735,578900,1.00E+05
1976,MMR,0,2.00E+05,0
1976,MRT,0,1420000,0
1976,NCL,0,0,0
1976,NIC,16,8000,0
1976,NLD,24,0,0
1976,NPL,150,0,0
1976,NZL,0,129,0
1976,PAK,338,5566000,505000
1976,PHL,6517,2914400,323409
1976,RWA,0,1700000,0
1976,SDN,150,299,0
1976,SUN,0,0,85000
1976,SWE,0,0,0
1976,TUR,3913,216034,25000
1976,USA,432,0,41000
1976,YUG,176,0,0
1977,ARG,70,42600,80000
1977,AUS,86,91,91395
1977,BEL,20,0,0
1977,BFA,0,442900,0
1977,BGD,907,234711,50000
1977,BGR,20,165,0
1977,BOL,10,90000,10000
1977,BRA,72,131100,0
1977,CAN,0,0,3.00E+06
1977,CHE,0,0,0
1977,CHL,15,16800,6800
1977,CIV,41,0,0
1977,COD,147,60000,0
1977,COL,155,122,0
1977,COM,1,25000,0
1977,CUB,7,18000,0
1977,DJI,0,91000,2500
1977,ECU,0,300,0
1977,EGY,40,150,0
1977,ETH,71,16000,0
1977,FRA,26,25000,0
1977,GBR,6,0,1000
1977,GHA,0,6558,0
1977,GMB,0,85000,4000
1977,GRC,27,1600,28000
1977,HKG,1,225,0
1977,HTI,0,950000,0
1977,IDN,327,327002,1200
1977,IND,14766,15533891,498535
1977,IRN,1114,421406,0
1977,ITA,23,1000,194000
1977,JAM,0,0,0
1977,JPN,41,23119,34000
1977,KEN,100,20000,10000
1977,KIR,17,352,0
1977,KOR,371,87343,45500
1977,LAO,0,3500000,0
1977,LBR,0,950,0
1977,LKA,27,250728,0
1977,MAR,0,38000,0
1977,MDG,10,30000,350000
1977,MEX,10,50000,0
1977,MMR,3,3000,0
1977,MOZ,462,440051,55500
1977,MYS,0,50,0
1977,NZL,0,120,0
1977,OMN,107,6596,0
1977,PAK,848,1022000,0
1977,PER,47,940,1000
1977,PHL,282,229578,7138
1977,POL,0,1000,0
1977,PRT,132,32,0
1977,REU,0,1000,0
1977,ROU,1641,386300,2.00E+06
1977,SEN,0,3715000,3.00E+05
1977,SLB,34,1001,0
1977,SOM,0,42671,0
1977,SPI,562,634,0
1977,SUN,45,50,0
1977,SWE,13,50,181000
1977,SYR,88,4165,0
1977,TCD,13,100,0
1977,THA,100,2800,0
1977,TON,1,15510,2300
1977,TUN,0,31400,0
1977,TUR,30,1.00E+05,0
1977,TWN,106,37528,251000
1977,TZA,500,26050,0
1977,USA,552,2900,3.00E+06
1977,VCT,0,0,0
1977,VNM,0,1000,0
1977,VUT,0,0,0
1977,YMD,0,0,0
1977,YMN,0,0,0
1977,ZAF,4,1000,0
1978,AFG,120,271684,52000
1978,ARG,58,1900,0
1978,AUS,12,100,1087324
1978,BDI,54,1530,0
1978,BEN,2,7200,0
1978,BGD,1176,400100,0
1978,BHR,111,0,0
1978,BLZ,5,6000,6000
1978,BOL,40,178000,0
1978,BRA,26,1000,2300000
1978,CAN,83,4,0
1978,CHL,4,6000,0
1978,CHN,100,6000200,0
1978,COD,0,5.00E+05,0
1978,CUB,6,170,0
1978,DFR,2,2275,480000
1978,DJI,0,106000,0
1978,DOM,0,0,0
1978,ESP,252,200,25000
1978,ETH,9,1000,0
1978,FJI,0,0,0
1978,FRA,3,1000,0
1978,GBR,12,99,0
1978,GHA,15,35,0
1978,GMB,200,0,0
1978,GNB,0,0,0
1978,GRC,50,600100,250000
1978,GUY,900,250000,0
1978,HKG,11,3196,0
1978,HND,0,7500,1000
1978,IDN,226,298890,1200
1978,IND,8076,32014350,166000
1978,IRN,25430,40272,50000
1978,IRQ,1,51,0
1978,ITA,49,11039,1000
1978,JPN,88,2021167,865000
1978,KOR,27,6000,19400
1978,LAO,31,459000,0
1978,LKA,750,1007000,1.00E+05
1978,MDG,70,18000,29000
1978,MDV,219,11258,0
1978,MEX,183,11250,24300
1978,MLI,0,0,0
1978,MMR,0,132000,0
1978,MOZ,44,305000,63000
1978,MRT,0,27000,25500
1978,MYS,0,3000,0
1978,NGA,100,0,0
1978,NPL,130,27748,513
1978,NZL,0,2726,0
1978,PAK,393,2246000,0
1978,PAN,19,2000,0
1978,PER,2,22000,2000
1978,PHL,763,1949088,212746
1978,RWA,17,2000,0
1978,SDN,34,1.00E+05,25000
1978,SEN,5,298,2000
1978,THA,146,2028400,4.00E+05
1978,TUN,3,147,0
1978,TUR,32,2745,0
1978,TZA,0,9000,0
1978,USA,599,3714,1.00E+05
1978,VNM,74,4079000,0
1978,ZAF,38,150,0
1978,ZMB,11,30900,200
1979,AIA,0,0,0
1979,ALB,35,350,0
1979,ARG,0,20000,0
1979,AUS,15,0,61134
1979,BFA,241,1612,0
1979,BGD,341,2332,0
1979,BLZ,0,17000,0
1979,BRA,300,6500000,0
1979,CAN,73,220061,19000
1979,CHL,30,0,0
1979,CHN,113,6004,0
1979,COL,701,113642,28000
1979,DFR,0,0,80000
1979,DJI,63,90,0
1979,DMA,40,72100,44650
1979,DOM,1432,1555000,150000
1979,DZA,0,30000,0
1979,EGY,53,81000,14000
1979,ESP,92,120,0
1979,FJI,53,35900,0
1979,FRA,11,2,0
1979,GLP,0,0,1.00E+05
1979,GRC,22,140,0
1979,GTM,0,2040,0
1979,GUY,1,200,0
1979,HKG,13,12790,10000
1979,HND,1,40000,13000
1979,HTI,8,1110,0
1979,IDN,1094,149251,23350
1979,IND,3210,39772364,322800
1979,IRL,50,0,0
1979,IRN,565,20278,0
1979,ITA,14,5024,0
1979,JAM,44,250000,0
1979,JPN,121,28050,0
1979,KEN,0,40000,0
1979,KOR,115,35000,40000
1979,LKA,0,0,0
1979,MAR,16,6292,0
1979,MEX,5,67535,30000
1979,MLI,30,80,0
1979,MMR,0,40000,11000
1979,MOZ,0,6.00E+06,0
1979,MTQ,0,20003,50000
1979,MUS,5,105257,175000
1979,MWI,0,20000,0
1979,NGA,24,27,0
1979,NIC,0,30000,0
1979,NPL,0,3500000,0
1979,NZL,257,600,2466
1979,PAK,113,3300,0
1979,PER,13,1100,0
1979,PHL,101,609729,45637
1979,PNG,13,0,0
1979,POL,83,77,0
1979,PRI,3,4500,0
1979,PRK,0,0,0
1979,PRT,23,45220,32100
1979,PRY,0,190000,0
1979,SEN,0,950000,0
1979,SLB,2,6000,0
1979,SUN,300,0,0
1979,THA,100,115,0
1979,TTO,26,0,0
1979,TUN,0,750,0
1979,TUR,136,293,0
1979,TWN,0,1900,0
1979,TZA,0,90000,0
1979,UGA,0,5.00E+05,0
1979,USA,214,213874,2863000
1979,VCT,2,20000,0
1979,VUT,0,0,0
1979,YUG,193,322280,450000
1979,ZMB,0,0,0
1980,AFG,0,30000,0
1980,ARG,41,40000,0
1980,AUS,0,40,120903
1980,AUT,0,0,0
1980,AZO,69,21900,0
1980,BFA,0,1250000,0
1980,BGD,666,10001050,150000
1980,BOL,0,15000,0
1980,BRA,82,271048,0
1980,BRB,0,5007,1500
1980,CAN,43,5046,0
1980,CHN,6491,107200,160000
1980,COL,205,550,0
1980,CRI,1,1350,0
1980,CUB,3,0,0
1980,DJI,0,145000,0
1980,DMA,0,0,0
1980,DNK,0,0,0
1980,DOM,7,0,47000
1980,DZA,2635,930407,5200000
1980,ECU,8,40,0
1980,ESP,197,90,1500000
1980,ETH,157,25000,0
1980,FJI,18,35250,2256
1980,FRA,14,313,0
1980,GBR,18,10087,0
1980,GMB,0,5.00E+05,0
1980,GRC,1,17,0
1980,GRD,0,0,5300
1980,HKG,2,368,0
1980,HND,2,0,0
1980,HTI,220,1278000,4.00E+05
1980,IDN,253,78991,3400
1980,IND,3946,32051071,320000
1980,IRN,524,950240,0
1980,IRQ,59,0,0
1980,ITA,4793,408000,2.00E+07
1980,JAM,193,30009,64000
1980,JPN,88,17335,0
1980,KOR,165,20017,7220
1980,LBR,466,1887,0
1980,LCA,9,80000,87990
1980,LKA,0,0,0
1980,MEX,171,106360,87000
1980,MLI,0,1500000,0
1980,MOZ,10,200,0
1980,MRT,0,1600000,0
1980,MTQ,0,0,68000
1980,MUS,0,108,0
1980,MYS,3,3200,0
1980,NER,0,3500000,0
1980,NIC,0,40000,0
1980,NOR,123,0,0
1980,NPL,100,240600,245000
1980,NZL,0,4400,0
1980,PAK,93,86223,0
1980,PER,77,39000,0
1980,PHL,441,2905543,125102
1980,PNG,0,40000,0
1980,POL,117,4552,0
1980,REU,35,7000,67000
1980,SAU,301,0,0
1980,SDN,0,0,0
1980,SOM,0,0,0
1980,SPI,146,0,0
1980,SUN,250,0,5000
1980,THA,95,630350,59700
1980,TUR,212,60000,15000
1980,TZA,12,0,0
1980,USA,1482,163250,4120000
1980,VCT,0,20500,16300
1980,VEN,0,186,0
1980,VNM,402,16279884,0
1980,YUG,0,5100,0
1980,ZAF,0,0,0
1981,AGO,0,80000,0
1981,ARG,45,240,0
1981,AUS,21,80000,6207410
1981,AUT,0,0,0
1981,BFA,1091,10013,0
1981,BGD,1085,2037000,0
1981,BGR,0,0,0
1981,BRA,627,52300,0
1981,CAF,0,1850,125
1981,CAN,13,19,79000
1981,CHN,2465,3212990,2300000
1981,COK,0,0,0
1981,COL,242,14000,5000
1981,COM,0,0,0
1981,CSK,0,600,0
1981,CUB,0,0,0
1981,DJI,25,102000,0
1981,DNK,9,0,250000
1981,DOM,20,150000,0
1981,DZA,43,50,0
1981,ESP,340,20000,1460000
1981,ETH,990,70000,0
1981,FJI,0,4700,0
1981,FRA,180,0,0
1981,GBR,12,0,0
1981,GIN,0,5000,0
1981,GRC,45,80904,9.00E+05
1981,HKG,0,0,0
1981,HND,0,0,0
1981,IDN,1438,402182,2200
1981,IND,2148,16131700,250000
1981,IRL,46,129,0
1981,IRN,3508,34100,1005000
1981,ITA,12,306,0
1981,JAM,0,0,14000
1981,JOR,4,715,0
1981,JPN,203,82878,0
1981,KOR,178,14493,134000
1981,LAO,0,0,0
1981,LKA,7,20000,0
1981,MDG,107,1118000,250000
1981,MEX,132,6028,40000
1981,MLI,412,4153,0
1981,MMR,13,83588,10000
1981,MOZ,1.00E+05,5250000,0
1981,NCL,4,2000,200
1981,NPL,750,10000,0
1981,NZL,0,2250,0
1981,OMN,26,0,0
1981,PAK,404,2987,0
1981,PER,158,17271,6000
1981,PHL,1584,1410676,118299
1981,PRI,26,2200,0
1981,PRT,30,900,0
1981,SAU,45,98,0
1981,SLV,0,990000,0
1981,SOM,5,30000,0
1981,SUN,81,12113,0
1981,TCD,3000,1500000,0
1981,THA,55,43000,13000
1981,TUR,36,75,0
1981,TWN,164,130,0
1981,USA,86,240,861000
1981,VEN,180,5000,5000
1981,VNM,177,564,0
1981,VUT,0,0,1000
1981,YMD,0,15000,32200
1981,YUG,70,44,0
1981,ZAF,104,185,1000
1982,AFG,500,38000,1000
1982,ALB,1,5005,0
1982,ARG,0,50000,0
1982,AUS,1,0,31085
1982,AUT,12,0,0
1982,BEL,14,9,0
1982,BEN,0,580000,0
1982,BGD,2741,481540,0
1982,BLZ,0,273,0
1982,BOL,20,30000,4.00E+05
1982,BRA,170,4300,0
1982,BWA,0,1037300,0
1982,CAN,84,1400,0
1982,CHE,0,0,1000
1982,CHL,0,8000,0
1982,CHN,707,816168,0
1982,COL,144,250,0
1982,CPV,3,2222,3000
1982,CSK,0,0,0
1982,CUB,24,180000,85000
1982,DZA,167,9264,0
1982,ECU,307,7.00E+05,232100
1982,EGY,100,0,0
1982,ESP,117,226600,930000
1982,FRA,83,18,350000
1982,GBR,0,0,2500
1982,GNB,0,0,0
1982,GTM,640,20256,105000
1982,HKG,31,12999,0
1982,HND,130,20500,101000
1982,IDN,654,396270,164950
1982,IND,2210,138800493,1445420
1982,ITA,0,10000,735000
1982,JPN,587,176849,244000
1982,KEN,77,17000,0
1982,KOR,68,5042,30000
1982,LBR,46,200,0
1982,LKA,54,2130000,1000
1982,MAR,1,12216,0
1982,MDG,92,70000,250000
1982,MEX,479,95717,314000
1982,MMR,301,48700,1200
1982,MNG,0,0,0
1982,MRT,5,12,0
1982,MUS,0,32500,973
1982,MWI,0,6000,0
1982,NAM,0,0,0
1982,NER,1,3000,16000
1982,NIC,71,52000,356000
1982,NPL,92,1475,0
1982,PAK,68,10000,0
1982,PAN,19,0,0
1982,PER,535,85000,0
1982,PHL,653,1229914,122915
1982,POL,0,17874,53000
1982,PRY,0,85000,0
1982,SAU,0,0,0
1982,SEN,0,1200000,0
1982,SLB,0,30000,0
1982,SLV,520,100500,280000
1982,SUN,340,586,0
1982,THA,7,70,0
1982,TON,7,146514,22300
1982,TUN,117,30000,90000
1982,TZA,0,40000,0
1982,UGA,3,153,0
1982,USA,667,74855,2145900
1982,VEN,150,40500,0
1982,VNM,70,1300290,0
1982,YMD,482,350000,975000
1982,YMN,1507,401500,2.00E+06
1982,ZAF,17,0,0
1982,ZMB,51,0,0
1982,ZWE,60,600,1000
1983,AFG,12,34503,3000
1983,AGO,126,0,0
1983,AIA,0,0,160
1983,ARE,112,0,0
1983,ARG,0,6080000,1800000
1983,ATG,0,75000,0
1983,AUS,75,11000,410012
1983,AUT,0,0,0
1983,BEL,2,1030,50000
1983,BEN,0,2100000,651
1983,BFA,237,386,0
1983,BGD,1445,27165550,0
1983,BGR,0,0,0
1983,BOL,250,3133049,965600
1983,BRA,218,23338340,350000
1983,CAF,0,0,0
1983,CAN,0,0,58000
1983,CHE,0,140,1000
1983,CHL,4,1524,0
1983,CHN,1702,42063,0
1983,CIV,0,0,0
1983,COG,0,0,0
1983,COL,427,36740,410900
1983,COM,33,30052,23000
1983,CRI,12,5535,1000
1983,CUB,15,164575,60000
1983,CYP,0,0,0
1983,DFR,0,12,0
1983,DJI,0,80000,0
1983,DNK,2,0,0
1983,DOM,0,0,0
1983,ECU,219,2.00E+05,0
1983,EGY,196,0,0
1983,ESP,399,507662,3900000
1983,ETH,3.00E+05,7750000,0
1983,FJI,9,242146,80851
1983,FRA,55,4732,609500
1983,GBR,5,12,0
1983,GHA,0,12500000,0
1983,GIN,275,21436,0
1983,GRC,12,487,0
1983,GTM,0,3500,0
1983,HKG,23,12174,12544
1983,IDN,265,433532,183197
1983,IND,1784,1807200,591000
1983,IRL,10,0,0
1983,IRN,33,7482,5000
1983,ISL,4,0,0
1983,ISR,0,300,0
1983,ITA,82,21050,0
1983,JPN,465,30871,416000
1983,LBN,20,0,0
1983,LBR,0,0,0
1983,LCA,0,3000,1290
1983,LKA,3,1250000,0
1983,LSO,0,5.00E+05,0
1983,LUX,0,0,0
1983,MAR,0,0,0
1983,MDG,42,13560,25000
1983,MEX,408,282850,0
1983,MMR,10,800,0
1983,MOZ,189,5679,0
1983,MUS,1,351,0
1983,MYS,10,15000,0
1983,NGA,148,3.00E+06,71103
1983,NIC,101,25500,7000
1983,NPL,207,200050,10000
1983,NZL,0,140,0
1983,PAK,158,64943,3000
1983,PAN,0,81000,0
1983,PER,623,702700,988800
1983,PHL,405,1868626,7850
1983,PNG,66,38000,11900
1983,POL,0,900,2000
1983,PRT,19,2000,190000
1983,PRY,76,1.00E+05,82000
1983,PSE,0,943,0
1983,PYF,7,5050,37000
1983,ROU,0,0,0
1983,SDN,150000,8532000,0
1983,SEN,0,5000,1406
1983,SLE,50,0,0
1983,SOM,0,0,0
1983,STP,0,93000,0
1983,SUN,669,15000,0
1983,SWZ,500,0,0
1983,TGO,0,0,0
1983,THA,80,1000050,0
1983,TUR,1486,834283,25000
1983,TWN,82,0,0
1983,TZA,183,79,0
1983,USA,332,9596,5107250
1983,VNM,734,1181868,0
1983,WSM,0,2000,63250
1983,YUG,12,0,2.00E+05
1983,ZAF,83,200,0
1983,ZMB,0,0,0
1983,ZWE,31,215,0
1984,AFG,1,35,5000
1984,AIA,0,0,2115
1984,ARG,30,12014,0
1984,AUS,36,0,3000
1984,AUT,42,0,0
1984,BEL,0,0,0
1984,BEN,0,0,0
1984,BFA,0,2500,0
1984,BGD,2400,3.00E+07,0
1984,BGR,50,0,0
1984,BOL,0,3000,0
1984,BRA,1135,391703,2030000
1984,BRB,0,100,0
1984,CAN,0,30000,1.00E+06
1984,CHE,6,40,9600
1984,CHL,127,323173,0
1984,CHN,144,28040,0
1984,CMR,37,0,0
1984,COD,0,3.00E+05,0
1984,COL,0,0,0
1984,CPV,29,5500,0
1984,CRI,0,0,2500
1984,CSK,43,95,0
1984,DDR,0,0,0
1984,DFR,14,296,950000
1984,DMA,2,10000,2000
1984,DNK,0,0,0
1984,DZA,54,1470,0
1984,ECU,60,575,0
1984,EGY,98,26,0
1984,ESP,26,60060,1001000
1984,FRA,4,0,0
