Year,Country,CountryName,Population,AverageTemperature,MinTemperature,MaxTemperature,GDP,Emissions,TotalDeaths,TotalAffected,TotalDamage,Meantemperature,AN_Temp,MeanGDP,AN_GDP,MeanCO2,AN_CO2,MeanPop,AN_POP
1961,USA,United States,183691000,8.642,8.45475,8.82925,5.63E+11,2877.3698,162,0,0,9.135677673,0.493677673,5.95E+12,5.39E+12,4835.256547,1957.886747,244696395.8,61005395.77
1962,AUS,Australia,10742000,21.80291667,21.53691667,22.06891667,19888005376,94.8235,0,0,0,22.01454717,0.211630503,3.26E+11,3.06E+11,252.3304792,157.5069792,16163360.87,5421360.868
1962,BGD,Bangladesh,51030137,25.03291667,24.703,25.36283333,5081413340,2.5168,0,0,0,25.28250472,0.24958805,35173952142,30092538802,18.18194528,15.66514528,98939874.21,47909737.21
1962,BRA,Brazil,76573248,24.84233333,24.57558333,25.10908333,19926293839,53.6314,0,0,0,25.22883491,0.386501572,5.22E+11,5.02E+11,210.8392,157.2078,137590674.3,61017426.28
1962,CAN,Canada,18614000,-4.873833333,-5.168083333,-4.579583333,41978852041,206.9908,33,0,0,-4.422849057,0.450984277,5.36E+11,4.94E+11,434.3247113,227.3339113,26407064.92,7793064.925
1962,CHN,China,665770000,6.703666667,6.42625,6.981083333,47209359006,439.3421,0,0,0,7.139169811,0.435503145,1.13E+12,1.08E+12,2772.717077,2333.374977,1049505755,383735754.7
1962,ESP,Spain,31023366,13.81258333,13.53358333,14.09158333,16138545209,59.9758,445,0,80000,14.11321384,0.300630503,4.70E+11,4.54E+11,212.3998415,152.4240415,38244689.89,7221323.887
1962,FRA,France,48119649,12.41433333,12.09575,12.73291667,76313782252,298.8665,0,0,0,13.32412736,0.909794025,1.04E+12,9.63E+11,413.2225113,114.3560113,56972193.17,8852544.17
1962,GBR,United Kingdom,53250000,7.994,7.6965,8.2915,80601939635,592.9315,18,33,0,8.956007862,0.962007862,1.01E+12,9.29E+11,581.3134792,-11.61802075,57367943.06,4117943.057
1962,IND,India,467852537,23.88475,23.59741667,24.17208333,41599070242,143.4518,0,0,0,24.35244969,0.467699686,3.92E+11,3.51E+11,646.297066,502.845266,819442916.4,351590379.4
1962,ITA,Italy,50879450,12.658,12.36866667,12.94733333,50383891899,146.255,0,0,0,13.25787264,0.599872642,8.47E+11,7.96E+11,368.5825604,222.3275604,55873572.26,4994122.264
1962,JPN,Japan,95832000,12.46616667,12.20875,12.72358333,60723018684,292.8644,234,0,0,12.46862107,0.002454403,2.50E+12,2.44E+12,954.1336679,661.2692679,116985539.1,21153539.09
1962,KOR,"Korea, Rep.",26513030,12.08383333,11.79416667,12.3735,2813933900,17.2616,290,0,0,12.40232862,0.318495283,3.30E+11,3.27E+11,240.3905358,223.1289358,39940599.32,13427569.32
1962,MEX,Mexico,40649588,20.99333333,20.7365,21.25016667,1.52E+10,63.7437,50,0,0,20.90401101,-0.089322327,3.63E+11,3.48E+11,280.9360774,217.1923774,78762835.77,38113247.77
1962,NGA,Nigeria,47029140,26.68891667,26.35766667,27.02016667,4909302954,4.175,0,0,0,27.0908978,0.401981132,62434227185,57524924231,53.07827358,48.90327358,92269841.08,45240701.08
1962,PAK,Pakistan,47119361,20.43916667,20.14916667,20.72916667,4233095590,13.5699,0,0,0,21.07655818,0.637391509,52806213638,48573118048,65.45923962,51.88933962,100721180.1,53601819.06
1962,USA,United States,186538000,8.9565,8.71825,9.19475,6.05E+11,2984.0017,158,0,350000,9.135677673,0.179177673,5.95E+12,5.35E+12,4835.256547,1851.254847,244696395.8,58158395.77
1963,AUS,Australia,10950000,21.69783333,21.49608333,21.89958333,21501847911,100.9343,0,0,0,22.01454717,0.316713836,3.26E+11,3.04E+11,252.3304792,151.3961792,16163360.87,5213360.868
1963,BGD,Bangladesh,52532417,25.10558333,24.83608333,25.37508333,5319458351,2.8932,22109,0,0,25.28250472,0.176921384,35173952142,29854493791,18.18194528,15.28874528,98939874.21,46407457.21
1963,BRA,Brazil,78854019,25.17158333,24.88225,25.46091667,23021477292,55.5509,146,0,0,25.22883491,0.057251572,5.22E+11,4.99E+11,210.8392,155.2883,137590674.3,58736655.28
1963,CAN,Canada,18964000,-4.612083333,-4.859583333,-4.364583333,44657169109,210.9108,219,0,0,-4.422849057,0.189234277,5.36E+11,4.91E+11,434.3247113,223.4139113,26407064.92,7443064.925
1963,CHN,China,682335000,7.0525,6.841666667,7.263333333,50706799903,435.5176,0,0,0,7.139169811,0.086669811,1.13E+12,1.08E+12,2772.717077,2337.199477,1049505755,367170754.7
1963,ESP,Spain,31296651,13.39525,13.14716667,13.64333333,19074913948,58.7429,0,0,0,14.11321384,0.717963836,4.70E+11,4.51E+11,212.3998415,153.6569415,38244689.89,6948038.887
